ZCTA5,LANDSQMT,POPULATION
601,166659789,18570
602,79288158,41520
603,81880442,54689
606,109580061,6615
610,93021467,29016
612,175106243,67010
616,29870473,11017
617,39347158,24597
622,75077028,7853
623,98367847,43061
624,111791516,26241
627,120058334,35159
631,10414662,1852
637,89226022,25287
638,171055117,18941
641,242237480,31191
646,53611823,38199
647,39379804,6172
650,79052810,14998
652,17906137,4715
653,39477273,13307
656,83968290,21481
659,108211415,41953
660,29380814,17250
662,114907988,43282
664,117897373,16784
667,156201164,25968
669,159419203,29744
670,118025360,9807
674,116400264,44457
676,130636635,40316
677,37137111,15272
678,68274095,27819
680,166248984,58140
682,37348163,32615
683,135168308,33772
685,200808224,42831
687,100675764,32610
688,82401202,13543
690,7291346,6255
692,69307906,37511
693,101838924,61038
694,2043548,328
698,180309254,41782
703,76855070,28605
704,12627769,8577
705,82748292,25598
707,54561503,12225
714,37859151,19566
715,20434129,3656
716,22081777,33779
717,5417561,18457
718,117172329,26606
719,72527843,30990
720,154368018,23129
723,119554076,19277
725,109190812,89374
727,55827071,58382
728,40524719,44908
729,87958918,53750
730,16850026,35742
731,123332268,15524
735,60362550,13730
736,142701655,51532
738,76243980,34922
739,81792808,39678
740,1103423,2071
741,6121151,4971
745,133676216,55062
751,121664561,23129
754,132164302,40828
757,77246859,23263
765,49309561,9098
766,103701762,26488
767,143501366,38019
769,198168393,40248
771,87591047,38394
772,37975532,23105
773,62964008,20068
775,27344697,1786
777,68844419,40684
778,76776403,45429
780,52032587,13800
782,69008763,19304
783,108382318,36557
784,143887987,44637
786,666250,357
791,95711037,53417
794,91419799,30585
795,119811901,48736
901,2534091,7080
906,8247,4
907,3132947,17458
909,1575598,6230
911,1245504,8623
912,854044,6801
913,843188,9312
915,3601480,32820
917,3360017,21053
918,5520556,18056
920,7331380,17893
921,6931388,37763
923,5283986,29086
924,12143485,56691
925,1158082,8696
926,62575083,108862
927,6804165,14936
934,1940428,288
936,417955,681
949,45604190,82278
950,6204986,9
951,1075640,35
952,3207681,10008
953,69144842,73014
956,68564483,79304
957,11965797,45680
959,16609667,50560
960,2409664,1779
961,13367398,32429
962,9876249,22491
965,1689483,9134
966,8401213,16676
968,1180763,3478
969,12622328,42219
971,41324409,30986
976,43356810,65136
979,4061150,17030
982,3654231,16428
983,8987630,39234
985,21083058,36553
987,64272333,63661
1001,29635470,16769
1002,142556362,29049
1003,1842384,10372
1005,114586903,5079
1007,136345999,14649
1008,139331467,1263
1009,2065002,741
1010,89982811,3609
1011,81884563,1370
1012,33977749,661
1013,14567022,23188
1020,32308345,29668
1022,12322151,2451
1026,62170236,946
1027,104896540,17660
1028,33686035,15720
1029,41047358,789
1030,30736637,11669
1031,20959213,1308
1032,30481491,570
1033,72068288,6227
1034,185271061,2021
1035,59791827,5250
1036,50521716,5109
1037,34391428,838
1038,25893889,2545
1039,34206722,1336
1040,55116741,39880
1050,99270932,2530
1053,13289904,1685
1054,59071058,1851
1056,70460584,21103
1057,116307957,8534
1060,28276974,15284
1062,47018995,11150
1063,100502,430
1066,1839260,64
1068,53949370,1902
1069,72688936,8469
1070,53200760,629
1071,40349276,1596
1072,52021993,1478
1073,72913678,5792
1074,220752,319
1075,45888980,17527
1077,79825932,9502
1079,2921898,692
